Sample	Random
0	0.8829311930303563
1000	0.6321558544798614
2000	0.7064719081130387
3000	0.7875440912589742
4000	0.6064516773732559
5000	0.17994287363730366
6000	0.24913913058451775
7000	0.8852975372777695
8000	0.9807782054002365
9000	0.5317855329150992
10000	0.9723193904582358
11000	0.9837106130872081
12000	0.008257044845929151
13000	0.1781910453854424
14000	0.8264845298250585
15000	0.731798779611518
16000	0.9842867138446304
17000	0.5486031860608137
18000	0.1200831878455405
19000	0.11218400816842422
20000	0.16539822545041372
21000	0.9178058270962567
22000	0.2565707638489392
23000	0.5703403500253643
24000	0.7692075030396236
25000	0.03202842599174294
26000	0.9964800712974982
27000	0.3364807587445108
28000	0.14076126310207482
29000	0.9223898215764271
30000	0.42658500273029454
31000	0.7551384540623427
32000	0.34418531214533266
33000	0.3047987582988998
34000	0.9241793966884182
35000	0.47408579943833284
36000	0.5137534906805282
37000	0.008904081876226266
38000	0.3255459815420675
39000	0.28165842414788433
40000	0.6127214678842863
41000	0.524376266176331
42000	0.9789589296006643
43000	0.028882210581163248
44000	0.8623872312703289
45000	0.08536888598731118
46000	0.9809678003810327
47000	0.1880385611547455
48000	0.15771294900692534
49000	0.9822575202714798
50000	0.38887801281234047
51000	0.5329759729917996
52000	0.1854172919275946
53000	0.8612091614268819
54000	0.3774140714438423
55000	0.307416781844572
56000	0.8537810391254289
57000	0.1993320200071802
58000	0.6134055164897059
59000	0.6440336030766194
60000	0.18365093266450294
61000	0.7137175239801703
62000	0.09647137062365652
63000	0.49457100348422856
64000	0.42409158340919695
65000	0.9788221783088642
66000	0.6434054230495286
67000	0.7348527798015816
68000	0.2820729719439158
69000	0.3528089118179868
70000	0.6762943943509963
71000	0.5876261794232145
72000	0.3732227051164647
73000	0.20192842897153995
74000	0.41856907221659156
75000	0.3322725704311119
76000	0.0011228916937358058
77000	0.97359851258556
78000	0.8586137754292191
79000	0.4828193036184537
80000	0.872096711870598
81000	0.22624818640253086
82000	0.13187890428838778
83000	0.29150937148880895
84000	0.7291615746811765
85000	0.7043107955322907
86000	0.5703651899422817
87000	0.07395485609351249
88000	0.8549806456939623
89000	0.35274984951064203
90000	0.28693920502536174
91000	0.6848581133298022
92000	0.9367466805793133
93000	0.5450228599515446
94000	0.1619695672960465
95000	0.5396650822365039
96000	0.4605512788368238
97000	0.5998764665405623
98000	0.7428647849824576
99000	0.9846486500139696
100000	0.9087170252797213
