Sample	Random
0	0.16776860837123742
1000	0.5148626274436735
2000	0.9546521732998127
3000	0.29656617372696403
4000	0.33080357952302064
5000	0.6025615840013708
6000	0.4540338951737779
7000	0.3086697074087321
8000	0.3263883225845472
9000	0.084146195012336
10000	0.29852853232479204
11000	0.11715920364889632
12000	0.9728129720532349
13000	0.926368015817951
14000	0.5349999982030035
15000	0.15853773064746657
16000	0.024514646463580148
17000	0.5568708130202228
18000	0.29811396353291697
19000	0.0619488583097072
20000	0.8703630688411959
21000	0.21653610703880666
22000	0.8059659349938432
23000	0.9710838102736904
24000	0.11953111218323575
25000	0.298159503821833
26000	0.2923706103616167
27000	0.6117225677536349
28000	0.9996147904405948
29000	0.030344690752641457
30000	0.011124609767451443
31000	0.3199101489838526
32000	0.7751691394615734
33000	0.135165973238894
34000	0.2508599814522612
35000	0.0557691527407308
36000	0.4424820428797873
37000	0.006082732652678446
38000	0.4477974315073411
39000	0.5948501802300684
40000	0.3683496024910099
41000	0.028495033331244035
42000	0.6351396186301866
43000	0.8141406489329021
44000	0.036116155653999726
45000	0.28694916742985044
46000	0.22533229365463392
47000	0.6590529270220993
48000	0.4946574627643262
49000	0.4531120338872964
50000	0.5832755632518093
51000	0.03818423561257123
52000	0.9201206900968495
53000	0.18748741447986883
54000	0.5800627789853339
55000	0.9107232176532076
56000	0.4263655334415042
57000	0.690317102059267
58000	0.546022909727159
59000	0.8112728679472917
60000	0.030054431114870384
61000	0.7929609376547453
62000	0.3378233437155649
63000	0.9320444124661535
64000	0.8073581717379771
65000	0.695279069532003
66000	0.9316971353495656
67000	0.7131715022010314
68000	0.5303383150920824
69000	0.08900698893939973
70000	0.4414008014766686
71000	0.20635580029951262
72000	0.731763505046592
73000	0.2761962061846396
74000	0.6753452150200612
75000	0.4011391529568351
76000	0.8776167823158968
77000	0.5262206225303688
78000	0.798823219877191
79000	0.6399427108354905
80000	0.9776494596714184
81000	0.8959005078238781
82000	0.20466467569812152
83000	0.9201115599847045
84000	0.26269545296669705
85000	0.012193094410677396
86000	0.11955249990344563
87000	0.1995789338705214
88000	0.9851312960392352
89000	0.17070355948584537
90000	0.8632904490603847
91000	0.9530204153744266
92000	0.41764833311324934
93000	0.9505842794916348
94000	0.7568253379938625
95000	0.8979122617065377
96000	0.32763389248045505
97000	0.7950140406640659
98000	0.48142332349066086
99000	0.28484506071655424
100000	0.4732374818603079
