Sample	Random	
0	0.8829311930303563	
1	0.6321558544798614	
2	0.7064719081130387	
3	0.7875440912589742	
4	0.6064516773732559	
5	0.17994287363730366	
6	0.24913913058451775	
7	0.8852975372777695	
8	0.9807782054002365	
9	0.5317855329150992	
10	0.9723193904582358	
11	0.9837106130872081	
12	0.008257044845929151	
13	0.1781910453854424	
14	0.8264845298250585	
15	0.731798779611518	
16	0.9842867138446304	
17	0.5486031860608137	
18	0.1200831878455405	
19	0.11218400816842422	
20	0.16539822545041372	
21	0.9178058270962567	
22	0.2565707638489392	
23	0.5703403500253643	
24	0.7692075030396236	
25	0.03202842599174294	
26	0.9964800712974982	
27	0.3364807587445108	
28	0.14076126310207482	
29	0.9223898215764271	
30	0.42658500273029454	
31	0.7551384540623427	
32	0.34418531214533266	
33	0.3047987582988998	
34	0.9241793966884182	
35	0.47408579943833284	
36	0.5137534906805282	
37	0.008904081876226266	
38	0.3255459815420675	
39	0.28165842414788433	
40	0.6127214678842863	
41	0.524376266176331	
42	0.9789589296006643	
43	0.028882210581163248	
44	0.8623872312703289	
45	0.08536888598731118	
46	0.9809678003810327	
47	0.1880385611547455	
48	0.15771294900692534	
49	0.9822575202714798	
50	0.38887801281234047	
51	0.5329759729917996	
52	0.1854172919275946	
53	0.8612091614268819	
54	0.3774140714438423	
55	0.307416781844572	
56	0.8537810391254289	
57	0.1993320200071802	
58	0.6134055164897059	
59	0.6440336030766194	
60	0.18365093266450294	
61	0.7137175239801703	
62	0.09647137062365652	
63	0.49457100348422856	
64	0.42409158340919695	
65	0.9788221783088642	
66	0.6434054230495286	
67	0.7348527798015816	
68	0.2820729719439158	
69	0.3528089118179868	
70	0.6762943943509963	
71	0.5876261794232145	
72	0.3732227051164647	
73	0.20192842897153995	
74	0.41856907221659156	
75	0.3322725704311119	
76	0.0011228916937358058	
77	0.97359851258556	
78	0.8586137754292191	
79	0.4828193036184537	
80	0.872096711870598	
81	0.22624818640253086	
82	0.13187890428838778	
83	0.29150937148880895	
84	0.7291615746811765	
85	0.7043107955322907	
86	0.5703651899422817	
87	0.07395485609351249	
88	0.8549806456939623	
89	0.35274984951064203	
90	0.28693920502536174	
91	0.6848581133298022	
92	0.9367466805793133	
93	0.5450228599515446	
94	0.1619695672960465	
95	0.5396650822365039	
96	0.4605512788368238	
97	0.5998764665405623	
98	0.7428647849824576	
99	0.9846486500139696	
100	0.9087170252797213	
101	0.814667635073508	
102	0.16429163671409386	
103	0.7246564243812843	
104	0.5370370540556351	
105	0.03711508407632158	
106	0.07561498307989978	
107	0.6255618505444321	
108	0.3762256751365025	
109	0.5770337701647997	
110	0.9811443862347902	
111	0.37503361869748386	
112	0.2915071680297818	
113	0.007203652116398729	
114	0.8679346811337925	
115	0.9860203166556102	
116	0.4783033146155786	
117	0.40469183174475276	
118	0.19221813867319903	
119	0.6002336360133913	
120	0.45199905313500055	
121	0.20058518974378448	
122	0.2431299321407283	
123	0.6987838721342647	
124	0.03953660220645605	
125	0.8620989448759278	
126	0.4866065315896294	
127	0.08599711659189424	
128	0.47418994594404507	
129	0.6555625646207435	
130	0.4407716850535094	
131	0.23804276282597092	
132	0.42975156660003255	
133	0.9990763937255158	
134	0.3387848803335196	
135	0.220708886791655	
136	0.20586741784241924	
137	0.47205585032554254	
138	9.995078122960743E-4	
139	0.7152267180244781	
140	0.5980668597407535	
141	0.8098593311997407	
142	0.7993346793840959	
143	0.0134597094805059	
144	0.7526841659385652	
145	0.34384752853155154	
146	0.9987661132696717	
147	0.9596610945476549	
148	0.7499353318468241	
149	0.46921064780049415	
150	0.6595844709289328	
151	0.035347209871284146	
152	0.4175086534556748	
153	0.6396639650760473	
154	0.1324181177657172	
155	0.652393649418084	
156	0.5183684781341928	
157	0.6805835946242135	
158	0.7886455906668384	
159	0.9717537782531345	
160	0.4036841058225623	
161	0.5557794061599686	
162	0.3835847085368781	
163	0.34085002310733814	
164	0.41865629597446763	
165	0.17287021635540256	
166	0.7489771921051708	
167	0.8087904347267946	
168	0.34594160781286276	
169	0.21041707599025428	
170	0.07904807130451863	
171	0.8698572177448501	
172	0.5893879857940761	
173	0.37275316698610184	
174	0.6166045192637986	
175	0.03298058593885367	
176	0.3703056226384902	
177	0.5251025689722046	
178	0.7038438814184902	
179	0.42973825778419383	
180	0.9370440794142962	
181	0.33599694845337424	
182	0.41896745707385397	
183	0.9925869760088206	
184	0.7889582866032173	
185	0.4359863141204873	
186	0.8103743527936558	
187	0.2657472076598747	
188	0.10219476210564449	
189	0.7029588555493612	
190	0.751661387324974	
191	0.2254302243745071	
192	0.5694502614054542	
193	0.19702886714518697	
194	0.8185839965472583	
195	0.6600690763321316	
196	0.2755430908632517	
197	0.3556649821943546	
198	0.38482576582725436	
199	0.4024960223656804	
200	0.7055518354586136	
201	0.6937700034064693	
202	0.16776860837123742	
203	0.5148626274436735	
204	0.9546521732998127	
205	0.29656617372696403	
206	0.33080357952302064	
207	0.6025615840013708	
208	0.4540338951737779	
209	0.3086697074087321	
210	0.3263883225845472	
211	0.084146195012336	
212	0.29852853232479204	
213	0.11715920364889632	
214	0.9728129720532349	
215	0.926368015817951	
216	0.5349999982030035	
